thrL	[189:255](+)	['ECDH10B_0001']
thrA	[336:2799](+)	['ECDH10B_0002']
thrB	[2800:3733](+)	['ECDH10B_0003']
thrC	[3733:5020](+)	['ECDH10B_0004']
yaaX	[5233:5530](+)	['ECDH10B_0005']
talB	[8237:9191](+)	['ECDH10B_0008']
mog	[9305:9893](+)	['ECDH10B_0009']
htgA	[10829:11315](+)	['ECDH10B_0012']
dnaK	[12162:14079](+)	['ECDH10B_0014']
dnaJ	[14167:15298](+)	['ECDH10B_0015']
insL-1	[15444:16557](+)	['ECDH10B_0016']
nhaA	[17488:18655](+)	['ECDH10B_0020']
nhaR	[18714:19620](+)	['ECDH10B_0021']
yaaY	[21180:21399](+)	['ECDH10B_0025']
ribF	[21406:22348](+)	['ECDH10B_0026']
ileS	[22390:25207](+)	['ECDH10B_0027']
lspA	[25206:25701](+)	['ECDH10B_0028']
fkpB	[25825:26275](+)	['ECDH10B_0029']
ispH	[26276:27227](+)	['ECDH10B_0030']
rihC	[27292:28207](+)	['ECDH10B_0031']
dapB	[28373:29195](+)	['ECDH10B_0032']
carA	[29650:30799](+)	['ECDH10B_0033']
carB	[30816:34038](+)	['ECDH10B_0034']
caiF	[34299:34695](+)	['ECDH10B_0035']
fixA	[42402:43173](+)	['ECDH10B_0042']
fixB	[43187:44129](+)	['ECDH10B_0043']
fixC	[44179:45466](+)	['ECDH10B_0044']
fixX	[45462:45750](+)	['ECDH10B_0045']
yaaU	[45806:47138](+)	['ECDH10B_0046']
kefF	[47245:47776](+)	['ECDH10B_0047']
kefC	[47768:49631](+)	['ECDH10B_0048']
folA	[49822:50302](+)	['ECDH10B_0049']
djlA	[57363:58179](+)	['ECDH10B_0056']
yabP	[58473:59269](+)	['ECDH10B_0058']
fruR	[62378:63136](+)	['ECDH10B_0062']
mraZ	[63737:64196](+)	['ECDH10B_0063']
mraW	[64197:65139](+)	['ECDH10B_0064']
ftsL	[65135:65501](+)	['ECDH10B_0065']
ftsI	[65516:67283](+)	['ECDH10B_0066']
murE	[67269:68757](+)	['ECDH10B_0067']
murF	[68753:70112](+)	['ECDH10B_0068']
mraY	[70105:71188](+)	['ECDH10B_0069']
murD	[71190:72507](+)	['ECDH10B_0070']
ftsW	[72506:73751](+)	['ECDH10B_0071']
murG	[73747:74815](+)	['ECDH10B_0072']
murC	[74868:76344](+)	['ECDH10B_0073']
ddlB	[76336:77257](+)	['ECDH10B_0074']
ftsQ	[77258:78089](+)	['ECDH10B_0075']
ftsA	[78085:79348](+)	['ECDH10B_0076']
ftsZ	[79408:80560](+)	['ECDH10B_0077']
lpxC	[80660:81578](+)	['ECDH10B_0078']
secM	[81808:82321](+)	['ECDH10B_0079']
secA	[82382:85088](+)	['ECDH10B_0080']
mutT	[85147:85537](+)	['ECDH10B_0081']
guaC	[87547:88591](+)	['ECDH10B_0085']
ampD	[92836:93388](+)	['ECDH10B_0090']
ampE	[93384:94239](+)	['ECDH10B_0091']
pdhR	[96195:96960](+)	['ECDH10B_0093']
aceE	[97120:99784](+)	['ECDH10B_0094']
aceF	[99798:101691](+)	['ECDH10B_0095']
lpd	[102015:103440](+)	['ECDH10B_0096']
acnB	[105718:108316](+)	['ECDH10B_0098']
yacL	[108491:108854](+)	['ECDH10B_0099']
cueO	[111186:112737](+)	['ECDH10B_0103']
hpt	[115534:116071](+)	['ECDH10B_0105']
yadG	[116882:117809](+)	['ECDH10B_0107']
yadH	[117805:118576](+)	['ECDH10B_0108']
yadI	[118680:119121](+)	['ECDH10B_0109']
yadE	[119184:120414](+)	['ECDH10B_0110']
yadD	[121071:121974](+)	['ECDH10B_0112']
hrpB	[136208:138638](+)	['ECDH10B_0128']
mrcB	[138833:141368](+)	['ECDH10B_0129']
fhuA	[141587:143831](+)	['ECDH10B_0130']
fhuC	[143881:144679](+)	['ECDH10B_0131']
fhuD	[144678:145569](+)	['ECDH10B_0132']
fhuB	[145565:147548](+)	['ECDH10B_0133']
clcA	[149210:150632](+)	['ECDH10B_0135']
yadR	[150713:151058](+)	['ECDH10B_0136']
dgt	[153340:154858](+)	['ECDH10B_0140']
degP	[154987:156412](+)	['ECDH10B_0141']
cdaR	[156566:157724](+)	['ECDH10B_0142']
rpsB	[163977:164703](+)	['ECDH10B_0149']
tsf	[164960:165812](+)	['ECDH10B_0150']
pyrH	[165958:166684](+)	['ECDH10B_0151']
frr	[166975:167533](+)	['ECDH10B_0152']
dxr	[167624:168821](+)	['ECDH10B_0153']
ispU	[169006:169768](+)	['ECDH10B_0154']
cdsA	[169780:170638](+)	['ECDH10B_0155']
rseP	[170649:172002](+)	['ECDH10B_0156']
ecfK	[172031:174464](+)	['ECDH10B_0157']
skp	[174585:175071](+)	['ECDH10B_0158']
lpxD	[175074:176100](+)	['ECDH10B_0159']
fabZ	[176204:176660](+)	['ECDH10B_0160']
lpxA	[176663:177452](+)	['ECDH10B_0161']
lpxB	[177451:178600](+)	['ECDH10B_0162']
rnhB	[178596:179193](+)	['ECDH10B_0163']
dnaE	[179229:182712](+)	['ECDH10B_0164']
accA	[182724:183684](+)	['ECDH10B_0165']
ldcC	[183782:185924](+)	['ECDH10B_0166']
yaeR	[185980:186370](+)	['ECDH10B_0167']
tilS	[186434:187733](+)	['ECDH10B_0168']
yaeQ	[188394:188940](+)	['ECDH10B_0171']
yaeJ	[188936:189359](+)	['ECDH10B_0172']
nlpE	[189372:190083](+)	['ECDH10B_0173']
gmhB	[196936:197512](+)	['ECDH10B_0181']
dkgB	[203270:204074](+)	['ECDH10B_0188']
yafD	[205225:206026](+)	['ECDH10B_0190']
yafE	[206029:206653](+)	['ECDH10B_0191']
yafS	[208919:209642](+)	['ECDH10B_0194']
dnaQ	[210170:210902](+)	['ECDH10B_0196']
yafT	[211438:212224](+)	['ECDH10B_0198']
yafF	[213293:213482](+)	['ECDH10B_0200']
ivy	[214446:214920](+)	['ECDH10B_0202']
lpcA	[217646:218225](+)	['ECDH10B_0204']
yafJ	[218430:219198](+)	['ECDH10B_0205']
yafL	[220815:221565](+)	['ECDH10B_0209']
yafM	[221740:222238](+)	['ECDH10B_0210']
lafU	[224175:224931](+)	['ECDH10B_0212']
dinB	[225001:226057](+)	['ECDH10B_0213']
yafN	[226108:226402](+)	['ECDH10B_0214']
yafO	[226404:226803](+)	['ECDH10B_0215']
yafP	[226812:227265](+)	['ECDH10B_0216']
ykfJ	[227582:227789](+)	['ECDH10B_0217']
prfH	[227805:228306](+)	['ECDH10B_0218']
gpt	[230080:230539](+)	['ECDH10B_0220']
frsA	[230630:231875](+)	['ECDH10B_0221']
crl	[231932:232334](+)	['ECDH10B_0222']
proB	[233715:234819](+)	['ECDH10B_0224']
proA	[234830:236084](+)	['ECDH10B_0225']
insN-1	[243569:243974](+)	['ECDH10B_0240']
insI-1	[243930:245082](+)	['ECDH10B_0241']
insO-1	[245157:245583](+)	['ECDH10B_0243']
ykfC	[246174:247282](+)	['ECDH10B_0244']
mmuP	[248652:250056](+)	['ECDH10B_0246']
mmuM	[250042:250975](+)	['ECDH10B_0247']
yagE	[255584:256514](+)	['ECDH10B_0255']
yagF	[256528:258496](+)	['ECDH10B_0256']
yagG	[258722:260105](+)	['ECDH10B_0257']
yagH	[260116:261727](+)	['ECDH10B_0258']
yagJ	[266273:267005](+)	['ECDH10B_0264']
yagU	[277764:278379](+)	['ECDH10B_0275']
ykgL	[286885:287113](+)	['ECDH10B_0283']
eaeH	[289130:290018](+)	['ECDH10B_0286']
insE-1	[290055:290364](+)	['ECDH10B_0287']
insF-1	[290360:291227](+)	['ECDH10B_0288']
ykgD	[295000:295855](+)	['ECDH10B_0293']
ykgE	[296381:297101](+)	['ECDH10B_0294']
ykgF	[297111:298539](+)	['ECDH10B_0295']
ykgG	[298531:299227](+)	['ECDH10B_0296']
betT	[304236:306270](+)	['ECDH10B_0301']
yahA	[307144:308233](+)	['ECDH10B_0302']
yahD	[310053:310659](+)	['ECDH10B_0305']
yahE	[310698:311562](+)	['ECDH10B_0306']
yahF	[311551:313099](+)	['ECDH10B_0307']
mhpT	[314013:315225](+)	['ECDH10B_0308']
yaiL	[315326:315866](+)	['ECDH10B_0309']
insC-1	[319860:320271](+)	['ECDH10B_0316']
insD-1	[320228:321134](+)	['ECDH10B_0317']
tauA	[323786:324749](+)	['ECDH10B_0321']
tauB	[324761:325529](+)	['ECDH10B_0322']
tauC	[325525:326353](+)	['ECDH10B_0323']
tauD	[326349:327201](+)	['ECDH10B_0324']
yaiT	join{[328805:330263](+), [331524:332973](+)}	['ECDH10B_0328']
yaiV	[333015:333684](+)	['ECDH10B_0332']
sbmA	[335193:336414](+)	['ECDH10B_0334']
yaiW	[336426:337521](+)	['ECDH10B_0335']
yaiZ	[338147:338360](+)	['ECDH10B_0337']
iraP	[339940:340201](+)	['ECDH10B_0339']
phoA	[340301:341717](+)	['ECDH10B_0340']
psiF	[341835:342156](+)	['ECDH10B_0341']
adrA	[342257:343373](+)	['ECDH10B_0342']
yaiI	[344318:344777](+)	['ECDH10B_0344']
aroL	[344959:345484](+)	['ECDH10B_0345']
yaiA	[345533:345725](+)	['ECDH10B_0346']
aroM	[345982:346660](+)	['ECDH10B_0347']
yaiE	[346731:347016](+)	['ECDH10B_0348']
ykiA	[347223:347505](+)	['ECDH10B_0349']
mak	[348698:349607](+)	['ECDH10B_0351']
phoB	[355696:356386](+)	['ECDH10B_0355']
phoR	[356443:357739](+)	['ECDH10B_0356']
brnQ	[358145:359465](+)	['ECDH10B_0357']
proY	[359540:360914](+)	['ECDH10B_0358']
malZ	[361069:362887](+)	['ECDH10B_0359']
queA	[363565:364636](+)	['ECDH10B_0361']
tgt	[364691:365819](+)	['ECDH10B_0362']
yajC	[365841:366174](+)	['ECDH10B_0363']
secD	[366201:368049](+)	['ECDH10B_0364']
secF	[368059:369031](+)	['ECDH10B_0365']
yajD	[369159:369507](+)	['ECDH10B_0366']
nrdR	[371556:372006](+)	['ECDH10B_0369']
ribD	[372009:373113](+)	['ECDH10B_0370']
ribE	[373201:373672](+)	['ECDH10B_0371']
nusB	[373691:374111](+)	['ECDH10B_0372']
thiL	[374188:375166](+)	['ECDH10B_0373']
pgpA	[375143:375662](+)	['ECDH10B_0374']
thiI	[380103:381552](+)	['ECDH10B_0379']
yajQ	[383237:383729](+)	['ECDH10B_0382']
bolA	[393026:393344](+)	['ECDH10B_0391']
tig	[393687:394986](+)	['ECDH10B_0392']
clpP	[395231:395855](+)	['ECDH10B_0393']
clpX	[395980:397255](+)	['ECDH10B_0394']
lon	[397442:399797](+)	['ECDH10B_0395']
hupB	[400005:400278](+)	['ECDH10B_0396']
ppiD	[400469:402341](+)	['ECDH10B_0397']
ybaV	[402491:402863](+)	['ECDH10B_0398']
ybaW	[402956:403355](+)	['ECDH10B_0399']
cof	[405966:406785](+)	['ECDH10B_0402']
ybaO	[406937:407396](+)	['ECDH10B_0403']
mdlA	[407425:409198](+)	['ECDH10B_0404']
mdlB	[409190:410972](+)	['ECDH10B_0405']
glnK	[411152:411491](+)	['ECDH10B_0406']
amtB	[411520:412807](+)	['ECDH10B_0407']
ybaY	[413933:414506](+)	['ECDH10B_0409']
ybaA	[415226:415580](+)	['ECDH10B_0412']
acrR	[424315:424963](+)	['ECDH10B_0420']
kefA	[425090:428453](+)	['ECDH10B_0421']
ybaN	[429436:429814](+)	['ECDH10B_0424']
apt	[429966:430518](+)	['ECDH10B_0425']
dnaX	[430646:432578](+)	['ECDH10B_0426']
ybaB	[432630:432960](+)	['ECDH10B_0427']
recR	[432959:433565](+)	['ECDH10B_0428']
htpG	[433674:435549](+)	['ECDH10B_0429']
adk	[435729:436374](+)	['ECDH10B_0430']
hemH	[436609:437572](+)	['ECDH10B_0431']
gsk	[438679:439984](+)	['ECDH10B_0433']
ushA	[443468:445121](+)	['ECDH10B_0436']
ybaQ	[446772:447114](+)	['ECDH10B_0440']
ybaS	[450195:451128](+)	['ECDH10B_0442']
ybaT	[451130:452423](+)	['ECDH10B_0443']
cueR	[452547:452955](+)	['ECDH10B_0444']
ybbL	[454473:455151](+)	['ECDH10B_0447']
ybbM	[455137:455917](+)	['ECDH10B_0448']
ybbA	[458287:458974](+)	['ECDH10B_0452']
ybbP	[458970:461385](+)	['ECDH10B_0453']
rhsD	[461815:466096](+)	['ECDH10B_0454']
ybbC	[466135:466504](+)	['ECDH10B_0455']
ylbH	[466503:467214](+)	['ECDH10B_0456']
ybbD	[467194:467685](+)	['ECDH10B_0457']
allA	[471005:471488](+)	['ECDH10B_0461']
allR	[471565:472381](+)	['ECDH10B_0462']
gcl	[472470:474252](+)	['ECDH10B_0463']
hyi	[474264:475041](+)	['ECDH10B_0464']
glxR	[475140:476019](+)	['ECDH10B_0465']
ybbV	[476050:476329](+)	['ECDH10B_0466']
ybbW	[476187:477642](+)	['ECDH10B_0467']
allB	[477701:479063](+)	['ECDH10B_0468']
ybbY	[479119:480421](+)	['ECDH10B_0469']
glxK	[480442:481588](+)	['ECDH10B_0470']
